doc_id,sentence_id,token_id,token,pos,head_token_id,dep_rel,previous_token,previous_pos,intensified,movie,text,genero
text1,1,8,realizada,ADJ,4,amod,",",PUNCT,0,kiki,"Esta es la traducción al español, realizada por Andrés Martínez, del",femenino
text3,1,1,basado,ADJ,1,ROOT,",",PUNCT,0,kiki,basado en el script encontrado en la página Nausicaa.Net.,masculino
text3,1,5,encontrado,ADJ,4,amod,script,NOUN,0,kiki,basado en el script encontrado en la página Nausicaa.Net.,masculino
text10,1,1,dirigido,ADJ,1,ROOT,"""",PUNCT,0,kiki,Dirigido y Producido por Hayao Miyazaki,masculino
text10,1,3,producido,ADJ,1,conj,y,CCONJ,0,kiki,Dirigido y Producido por Hayao Miyazaki,masculino
text11,1,2,original,ADJ,1,amod,historia,NOUN,0,kiki,Historia original de Eiko Kadono,neutral
text13,1,1,transcrito,ADJ,1,ROOT,animart,PROPN,0,kiki,Transcrito a disco por David Moisan,masculino
text15,1,4,pastosa,ADJ,3,amod,colina,NOUN,0,kiki,En una colina pastosa...),femenino
text17,1,4,alta,ADJ,5,amod,de,ADP,0,kiki,Un sistema de alta presión sobre la tierra traerá un buen,femenino
text17,1,11,buen,ADJ,10,amod,un,DET,0,kiki,Un sistema de alta presión sobre la tierra traerá un buen,neutral
text19,1,9,claro,ADJ,7,advmod,",",PUNCT,0,kiki,"a noroeste, presión del viento 3, claro, con una hermosa luna",masculino
text19,1,13,hermosa,ADJ,14,amod,una,DET,0,kiki,"a noroeste, presión del viento 3, claro, con una hermosa luna",femenino
text20,1,1,llena,ADJ,1,ROOT,luna,NOUN,0,kiki,"llena. Mañana deberá ser claro, y pasado mañana también.",femenino
text20,3,4,claro,ADJ,4,ROOT,ser,AUX,0,kiki,"llena. Mañana deberá ser claro, y pasado mañana también.",masculino
text21,1,6,futuros,ADJ,5,amod,precios,NOUN,0,kiki,"A continuación, los precios futuros del Mercado Central de",masculino
text25,2,3,buen,ADJ,4,amod,",",PUNCT,0,kiki,"KIKI:Madre!! (a la Sra. Dora) Oh, buen día! Madre, escuchaste",neutral
text26,2,8,clara,ADJ,7,amod,noche,NOUN,0,kiki,el reporte del clima? Esta va a ser una noche clara.,femenino
text27,1,3,hermosa,ADJ,4,amod,una,DET,0,kiki,Habrá una hermosa luna!,femenino
text28,1,7,nuevo,ADJ,6,fixed,de,ADP,0,kiki,"KOKIRI: Kiki, sacaste de nuevo el radio de tu Padre?",masculino
text31,1,5,querida,ADJ,7,advmod,",",PUNCT,0,kiki,"KOKIRI: Pero, querida, dijiste que lo ibas a posponer por un mes...",femenino
text32,1,8,siguiente,ADJ,9,amod,la,DET,0,kiki,KIKI: Pero no sé si la siguiente luna llena será clara.,neutral
text32,1,10,llena,ADJ,9,amod,luna,NOUN,0,kiki,KIKI: Pero no sé si la siguiente luna llena será clara.,femenino
text32,1,12,clara,ADJ,5,ccomp,será,AUX,0,kiki,KIKI: Pero no sé si la siguiente luna llena será clara.,femenino
text33,1,6,clara,ADJ,5,amod,noche,NOUN,0,kiki,Quiero partir en una noche clara.,femenino
text37,1,7,vieja,ADJ,8,amod,una,DET,0,kiki,"KOKIRI: Sí, es una vieja costumbre. Si una niña quiere ser una bruja,",femenino
text40,1,8,joven,ADJ,6,amod,tan,ADV,1,kiki,"KOKIRI: Pero irse de casa tan joven, no lo hará este día y edad.",femenino
text41,2,2,pequeña,ADJ,3,amod,un,DET,0,kiki,"DORA: Recuerdo bien el día que llegaste a este pueblo. Un pequeña,",femenino
text43,1,2,chispeantes,ADJ,1,amod,ojos,NOUN,0,kiki,"Ojos chispeantes, un poco insolente...",neutral
text43,1,6,insolente,ADJ,1,amod,poco,ADV,1,kiki,"Ojos chispeantes, un poco insolente...",neutral
text45,1,6,preparada,ADJ,5,amod,medicina,NOUN,0,kiki,nadie para llevar mi medicina preparada.,femenino
text47,1,13,mejor,ADJ,11,fixed,lo,PRON,0,kiki,"Pero por mí y mi reumatismo, tu medicina trabaja de lo mejor.",femenino
text49,1,7,ansioso,ADJ,1,acl,tan,ADV,1,kiki,"KIKI: Bueno, estabas tan ansioso por partir, y ahora que la hora ha",masculino
text50,1,3,seguro,ADJ,6,advmod,",",PUNCT,0,kiki,"llegado, seguro que estás perdiendo el tiempo.",masculino
text52,1,7,cautelosa,ADJ,1,conj,más,ADV,1,kiki,"independencia, y debes ser más cautelosa y calmada.",femenino
text52,1,9,calmada,ADJ,7,conj,y,CCONJ,0,kiki,"independencia, y debes ser más cautelosa y calmada.",femenino
text54,1,2,lindo,ADJ,3,amod,un,DET,0,kiki,un lindo novio? Será muy difícil de partir entonces.,masculino
text54,3,3,difícil,ADJ,3,ROOT,muy,ADV,1,kiki,un lindo novio? Será muy difícil de partir entonces.,neutral
text56,1,7,impulsiva,ADJ,5,amod,muy,ADV,1,kiki,"decidas, eres una persona muy impulsiva.",femenino
text57,2,3,emocionada,ADJ,3,ROOT,muy,ADV,1,kiki,"KIKI: Bueno, supongo que así soy yo. Estoy muy emocionada, como cuando",femenino
text63,1,7,prestado,ADJ,6,obj,pedí,VERB,0,kiki,"OKINO: Pero mira, pedí prestado el equipo de campamento para la próxima",masculino
text63,1,14,próxima,ADJ,6,obl,la,DET,0,kiki,"OKINO: Pero mira, pedí prestado el equipo de campamento para la próxima",femenino
